"","","","","","Даты и срок","","Глобальная скидка","","","","","","","","","","","","","","","","","","",""
"","","","","","8.7","","","","Скутеры","","","","","","","","","","","","","","","","",""
"ADV 350CC BLACK GOLD PHUKET 372","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"XMAX 300CC NEW BLUE-3 PHUKET 4724","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
